ID,name,text,act_type,act_age
make_story_child,Make up a Story,"Creating stories together is a great way to have fun with imagination - and to build your child’s creativity! 📖
;
5️⃣ With your child, come up with 5 words to use. They can be any words you want! For example: banana, spaceship, fish, water, painting, cooking, wedding. If you need to remember them, write them clearly on a paper with your child.

🎂 Start your story with, “Once upon a time, there was a…” and use one of the words from the list in the first part. For example, “Once upon a time, there was a family who worked on a *banana* farm.”

📝 Let your child make up the next part using another word from the list.
;
🔄 Take turns until you have used all the words and created a story. 

🔔 Be creative and do not tell your child what to say. It does not need to be a real story to be fun!

🎁 Ask your child what their favourite part of the story was, and tell them yours!",Calm,4 | 5| 6 | 7 | 8 | 9
play_with_clothes,Playing with Clothes,"💡Help your child use their fingers, talk about clothes, and organise them! 

Help your child exercise their fingers by showing them how buttons and zips work on clothes, and letting them practise using them! 👋
;
🔵 Talk about the colours of clothes! Ask your child to pick a colour and talk about all the things that are that colour: “What are all the things we can think of that are blue?”
;
😃 Encourage your child to help you sort clothes into piles for each family member.",Calm,3 | 4| 5|
play_with_veggies,Playing with Vegetables,"🌱 Help your child learn by thinking and talking about vegetables!

🍅 Mix together 2-3 different ingredients of your choice (like onions, tomatoes and corn example). Say: “Help me sort these vegetables into piles?” Try sorting them by size.
;
😃 Remind me!
Talk about your child’s experiences. Ask questions and wait for answers. Follow your child’s interest. 
“Can you help me remember what is at the market?” “Do they sell carrots at the market?” “Do the sell anything yellow at the market?” “What else do they sell?” “Can you think of other things they sell?”
;
💡Can you think of something similar?
Say: We are going to think of some things that are similar or different from what I tell you. So listen carefully!”
Here is a tomato. Can you think of something else that is red like a tomato? 🍅
Can you think something else that is round like a tomato? ⚽",Calm,3 | 4| 5|
animals,Animals,"🧸 Active animals: Take turns with your child doing animal actions: Hop like a frog, stretch like a cat, run like a dog, slither like a snake, flap like a bird
;
💡All the animals we can think of - think about groups of animals!
What are all the animals we can think of that have feathers?
What are all the animals we can think of that eat plants? 🌱
What are all the animals we can think of that lay eggs?
;
😃 Counting rabbits
🔟 Find 10 rocks and put them in a line, tell your child that they are rabbits!
Ask your child to count the rabbits!
Put the rabbits into 2 equal piles. Ask your child to give you 3 rabbits. Say “If you give me 3, how many rabbits do you have”",Active,4| 5|6
active_counting,Active Counting,"👋 Clap, hop, jump: Play the following game with your child. Make it active!

1️⃣ Clap hands 1 time. 2️⃣ Clap hands 2 times.
1️⃣ Jump 1 time. 2️⃣ Jump 2 times.
1️⃣ Hop 1 time.
3️⃣ Hop 3 times.
💡Can you hop, then jump, then clap? 
🏆 Can you clap twice, jump once, and hop three times?

;

💡Remembering Instructions
Take turns playing a game where you give 2-3 instructions that the other person has to remember to follow. Make sure physical movement is included!
For example:
Hop twice, turn around.
Jump to the kitchen, pick up a spoon, then run back. ✅",Active,4| 5|6
thinking_games,Thinking Games,"❗ Mama/Daddy says! Play this game of giving instructions:
Mama/daddy says touch your head. Mama/daddy says open your mouth. Mama/daddy says turn around. Mama/daddy says touch your knees. Mama/daddy says jump twice. Mama/daddy says jump, then clap and sit.
;
👂 Go and stop: Play the game with your child
Say: When I say “stop”, we freeze. When I say “go”, we can walk again.
Once your child is familiar with the game, your child will lead.
;
🔵 🔴Blue-Red - now play this game!
If I say touch something blue, you need to touch something red. If I say touch something red, you need to touch something blue.",Active,4| 5|6
games_with_pictures,Games with Pictures!,"👂 Making up a story from an image
For example, say: We are going to make up a story about this picture. I can start. This little girl is feeling very excited today. Why do you think she is feeling excited?
😃 She is holding her bag and has a big smile. Where do you think she is going?
;
👀 Can you point to it?
Using a book or a magazine, or anything with pictures, say:
I am going to describe something on the page and you need to guess what it is and point to it. For example, “I see something that is [green and moves slowly].
Can you guess what it is?” 💚",Calm,4| 5|6
shapes_everywhere,Shapes Everywhere!,"📺 Squares, squares everywhere

👀 Draw squares in the sand or dirt. Make some bigger and some smaller.
Tell your child, “this is a square.” 
Ask your child to try to draw a square. Hold your child’s hand to help if this is hard. 
Look for things around the home or outdoors that are the same shape.

Now do the same with circles! 🔴",Active | Quick,2 | 3| 4| 5|
story_telling,Story Telling,"💡 Let’s make a story!

Say: We are going to make up a story. I will start then you will help me continue it. 
⏰ ”Once upon a time there was…”
“What happened next?”
“What happened after that?”
;

👂 Tell me the story!
Say to your child: “I have a book here that we have read before. Can you remember the story and tell it to me just by looking at the pictures?” 
👀 Show your child pictures in the book. Ask your child what is happening in the pictures and what happens next.",Calm,3| 4| 5|
im_a_writer,I'm a Writer!,"📝 Have fun being creative with writing!

You and your child can have fun writing with a pencil and paper, or with a stick and the sand!
If your child doesn’t know how to write letters, encourage them to draw shapes, and try to copy the shapes of letters. 🔵▶️

When they are more confident, encourage them to write letters and even words. 😃

Show them the simple things that you write - like shopping lists! Show them the words and each of the letters. Let them try to copy the words! 📖",Active | Quick,4| 5|6
a_friendly_chat,A Friendly Chat,"Talk to your child about something that they are interested in! 😃

💚 Spending quality time with your child and talking to them every day is a good way to develop a strong relationship. 

⚽ An easy way to start talking to your child is to ask them about something they are interested in, for example you could talk about topics such as: sports, books, movies, friends, music, celebrities, or school.

👂 You may not find everything your child shares to be interesting, but it’s important to show enthusiasm and an eagerness to learn.",Quick | Calm,3 | 4 | 5 | 6 | 7 | 8 | 9
get_active_child,Get Active,"Exercise is a great way to spend time together and it is so good for your health. 🌱 Find a sport or exercise that both you and your child want to do and try it out together! 

⏰ Even walking for 10 minutes a day is good for you. 

⚽ Together you can walk, run, play soccer, swim, dance, or do any other sport..

🏆 Together, think of ways to make it even more fun. Can you jog to a certain point? Take turns being the coach? Can there be a small, free reward, like getting to decide the next activity?

🌈 Exercise becomes easier and more enjoyable the more you do it. 

🔄 If you or your child do not like the first exercise you pick, try a new exercise.",Active,4 | 5 | 6 | 7 | 8 | 9
pass_ball_child,Pass the Ball,"Games are a great, fun way to spend time with your family! 

3️⃣ This game is best with at least 3 people.

⚽ Find a ball to play. If you cannot find a ball, choose an item you can safely throw around. For example, a bottle cap or a plastic cup.

➡️ Start in a circle and pass the ball around. 

👋 Start throwing the ball in new directions (up, down, straight, curved, rolling on the ground) and with different forces (hard, soft, medium). You can bounce the ball, throw it in the air, and catch it a few times before passing it. 

✨ When everyone gets good at catching the ball, you can start moving around the room, still passing the ball. 

⭐ Can you throw the ball under the leg? Behind the back? Over your head? Block a pass? Have fun with it!",Active|Group,4 | 5 | 6 | 7 | 8 | 9
active_songs,Active Songs,"😃 Young children love physical games! But they need reminders about how to play 💡
🎵 Songs with movements are fun and active and give instructions on how to move!
;
Sing songs to your child or a group of children in which they have to:
✅ Start and stop ❌
⬇️ Slow down and speed up ⬆️",Active|Group,2 | 3
follow_the_leader,Follow the Leader!,"⭐ Choose someone to be the leader (tip: start with an adult like yourself)
😃 Other players line up behind the leader. The leader moves around in any way they like!
🏁 They can run, jump, crawl, walk on tip toes, and any other way they want!
👀 The other players must copy what the leaders does, and the leader can change movements at any time.

🔄 Players take turns being the leader!",Active|Group,2 | 3
be_the_narrator,Be the Narrator,"👀 Say what your child is doing while they are playing

👂 This will help them learn the words to describe their actions.

😃 You can do it in a simple way, or in a silly way like a sports commentator, a news presenter, or a game show host

💡 Ask questions like “what will you do next?” or “I see you want to put the ball in the jar. Is there another way to do that?”",Calm | Quick,2 | 3
be_an_artist,Be an Artist!,"📝 Give your child some paper and a pen or pencil, or some different pens or pencils.
😃 Let your child draw whatever they want to!
👀 Ask questions about what they are drawing, the size of the thing they are drawing, and the colours they are using.

🏆 If possible, put your child’s picture up on the wall when they are finished. Give praise to your child!",Calm,2 | 3
